text,label,hinglish_ratio,is_hinglish
paise kal tak de nahi toh teri private nude photo status pe daal dunga,-1,0.42857142857142855,True
papa ke liye groceries le aana shaam ko.,0,0.125,True
"50 hazar de, otherwise terey videos viral kar dunga seedha kar dunga.",-1,0.45454545454545453,True
ghar kab aa raha hai please abhi abhi,0,0.75,True
"meri baat maan le, nahi toh tere classmates ko bhi call kar kar ke tang kar dunga seedha kar dunga.",-1,0.5,True
italy rome what the fuck has this got to do with anything we are talking about  you serbo nationalists wanna go on your italy page and discuss that  evlekis  are you able to read look at the following an excellent scholarly contribution to the study of the province seriously differs from the biased interpretations published by serbian and albanian historians  or trendy but shallow western kosovology experts  canadian slavonic papers a thrilling detective story  new york times book review excellent  new york review of books a book every policy expert  journalist and lay person must read  wall street journal malcolm s narrative is gripping  even brilliant at times he takes to his task with the vigor of a detective driven by true passion  at times his claims are  in terms of balkan history  quite revolutionary  economist cover s  the whole history of kosovo  with an authority that is often breathtaking and never oppressive  sunday times brilliantly researched and argued a magisterial work of history kosovo will inevitably be received immediately as an immensely valuable contribution to our understanding and knowledge of a contemporary crisis  but to see the book as merely a contribution to the present day debate is to do it a disservice  this is a profound and pioneering work which will endure for generations  times literary supplement  in this awe inspiring work  malcolm has created a vital successor to his bosnia  a short history and an essential aid to anyone who wishes to understand this tragic region today his book is exceptional not only for his unimpeachable rearch  but also for his equitable examination of the conflicting ethnic views of what really happened one can t help speculating on how a clear understanding of the information contained here might have affected the dayton accord and history  publisher s weekly by far the best available guide to the fatal steps to catastrophe  the new york review of books elaborately researched book world  there you have it  noel malcolm is revered and aknowledged as a neutral and impartial historian  but just because he isn t on of your serbo bloggers  you come up with all this  shit  about his works  when he says conquered that is exactly what the term means  your map is  shit because serbs only made up of that land whether it was a bigger or smaller kosova than today  and i call it kosova because kosova is it s name  it s serbo nationalists like you  dab  and balkanfever who keep it in it s milosevic devized name  and you keep going on about the treaty in london well what happened certainly nothing to do with kosova joining serbia because i said before and i ll say again if it did  malcolm would have said it  if he gets things wrong  why is he so well respected by all those reporters in the newspapers listed by interestedinfairness  answer that one  dab  don t confuse the issue  it doesn t matter if kosova was once it italy  i tell you that it has never been in serbia  it only had the bad luck to be in the same genocide state as serbia when a part of yugoslavia  the end,-1,0.043233082706766915,False
"agar abhi answer nahi diya, otherwise tere relatives ko sab bata dunga seriously bol raha hu.",-1,0.6875,True
kripya bill ka update bhej dena.,0,0.16666666666666666,True
checked him days ago  but found nothing untoward,0,0.0,False
meri baat mano otherwise tumhari posts group me bhej dunga majboor mat kar.,-1,0.15384615384615385,True
i m sure that means a lot to a brand new user who doesn t give a crap about these stupid policies,-1,0.0,False
ghar pe sab theek hai yaar abhi abhi,0,0.875,True
"Raat tak tak 50 hazar bhej do, warna sab chats leak kar dunga seedha kar dunga. ignore mat kar.",-1,0.4444444444444444,True
"jo bola hai woh kar, nahi toh tere office wale ko message karunga ye last warning hai.",-1,0.5882352941176471,True
weekend pe ground chalna hai kya? ignore mat kar.,0,0.3333333333333333,True
"24 ghante me milne aa, nahi toh tujhe ghar tak aa jaunga seriously bol raha hu. samjha?",-1,0.4375,True
fuck wikipedia on wheels  you should be forced to eat your own  shit  you fat  bastard,-1,0.0,False
tumhari private vdo online post kar dunga agar milne nahi aayi toh,-1,0.4166666666666667,True
"aaj raat bahar mil, phir tujhe naam kharab kar dunga mazaak nahi kar raha. samjhi?",-1,0.5333333333333333,True
"money bhej, warna tumhari private photos family ko bhej dunga",-1,0.1,True
an accusation that is,0,0.0,False
are u serious  those idiot  s are just a bunch of unaustralian bogans  with too much time on their hands  just cos there recruiting aggressively and getting attention doesnt mean theyre notable enough to be in wikipedia  it makes me sick hearing the rubbish from their campaign we d gain nothing from independence  and what if the fanatics turn it into something like northern ireland  no thank you,-1,0.029411764705882353,False
Ha na. Last ka 1 nai aaya toh bc khatam,-1,0.2222222222222222,True
"abhi milne aa, warna tujhe chain se jeene nahi dunga seriously bol raha hu.",-1,0.42857142857142855,True
main baad me station pahunch jaunga.,0,0.16666666666666666,True
client ko revised presentation bhejna hai kal.,0,0.2857142857142857,True
"kal tak bahar mil, phir tujhe ghar tak aa jaunga samjha?",-1,0.36363636363636365,True
